uid,uof_uid,tracking_id_og,tracking_id,investigation_status,service_type,light_condition,weather_condition,shift_time,disposition,division,division_level,unit,originating_bureau,use_of_force_description,use_of_force_level,use_of_force_effective,age,years_of_service,officer_injured,agency,use_of_force_reason
a042d6fea69735fbc814a5aba9df464c,00074427f0aa1da6cd9e81c852bd7581,ftn2018-0235,3f8c2b12e9354193fb7a532bf8ddeb02,Completed,arresting,good,clear conditions,between 11pm-7am,use of force justified,c platoon,5th district,patrol,field operations bureau,takedown (no injury),l1,yes,31,12,No,new-orleans-pd,resisted lawful arrest
cd259eeed4cf4cf2c1e5b39d128b7d66,002e7eb251b6a05747652cf76572d0c5,ftn2016-0622,c7fa81ca89db180d25a5c05d996714e8,Completed,arresting,good,clear conditions,,use of force authorized,narcotics,8th district,,field operations bureau,hands,l1,yes,39,8,No,new-orleans-pd,resisted lawful arrest
2d74ab4c1cee262f4aee0a452bb88e54,0047629b6e67816b24ff9e97c8162862,ftn2021-0082,da482fa33f5ed5a3deb00540182eed48,Completed,call for service,good,clear conditions,between 7am-3pm,use of force justified,a platoon,6th district,patrol,field operations bureau,hands (with injury),l2,yes,35,5,Yes,new-orleans-pd,flight from an officer
d253a363a7c0bc9ce9db106e4cbd0d8f,00651ed4b9ec7162dab6d8b9bb047613,ftn2016-0441,69dfa698284fa55634637a6e85084a07,Completed,traffic stop,poor,clear conditions,,use of force authorized,b platoon,5th district,,field operations bureau,canine (no bite),l2,yes,48,30,No,new-orleans-pd,resisted officer with weapon
8366cc844c37a306570afaf9cc541c71,007beb324e4aa8859c4b4ca7ecf2e613,ftn2017-0500,e44a38a3d5301e762d6e37e2370890ab,Completed,call for service,good,clear conditions,between 3pm-11pm,use of force authorized,b platoon,5th district,patrol,field operations bureau,hands,l1,yes,26,5,No,new-orleans-pd,resisted lawful arrest
14bd19f63acfbe4256fc738e053f04f6,008455e110404931e9d565eee8988552,ftn2019-0316,36ca02914eb8252dbe680569140479e8,Completed,call for service,good,clear conditions,between 11pm-7am,use of force justified with training,c platoon,7th district,patrol,field operations bureau,hands,l1,no,26,5,No,new-orleans-pd,refused verbal commands
c70e0ef2ebb5e86cdfb4b1ae68dae27e,0086b8e4b1de33d524b5c7a2bad059d5,ftn2017-0414,d252c63ab44cc87e191a6088ace88691,Completed,pedestrian stop,good,clear conditions,between 7am-3pm,use of force authorized,k9,special operations,,field operations bureau,canine (contact),l3,yes,58,15,No,new-orleans-pd,flight from an officer
926cc7154e61373aa0f6c268f7d7a86e,009878dac5c41ca90b363b28193c4848,ftn2019-0242,b801a03f5b84643a739a061bec2945f8,Completed,serving a warrant,poor,clear conditions,between 11pm-7am,use of force justified,tactical,special operations,1st platoon,field operations bureau,firearm (exhibited),l1,yes,32,9,No,new-orleans-pd,tactical deployments
3df0ebc6d18b5d5caa0d4ab90e346bd4,00c772335e6b571b90d61f75d4c94646,ftn2019-0104,9e93298f469d007bc448ecd48933085a,Completed,call for service,good,clear conditions,between 7am-3pm,use of force justified,a platoon,2nd district,patrol,field operations bureau,takedown (no injury),l1,yes,34,3,No,new-orleans-pd,flight from an officer
65ca05f3b63f7d7383662d1275b0804f,00de5951e30c2b108e1c138094285638,ftn2016-0583,db4dc19e69d39700cf4c8fed24b42171,Completed,call for service,poor,other,,use of force authorized,8th district,8th district,,field operations bureau,conducted electrical weapon exhibited/laser,l1,yes,29,7,No,new-orleans-pd,refused verbal commands
63235791fbf6312e5504d10b2d24d96a,00e02066996e2d464b08390df47794e8,ftn2019-0353,dad29321f0711274c3108c7e9d24eeb1,Completed,call for service,good,clear conditions,,use of force justified,task force a,3rd district,task force a,field operations bureau,hands,l1,no,28,3,No,new-orleans-pd,resisted lawful arrest
5fa29bd8f1b86b527693026bba7028b7,00efcf2b9e716b37386b983cb757a0bf,ftn2018-0308,96435aee0134057a457217edae40a5fb,Completed,pedestrian stop,good,clear conditions,between 3pm-11pm,use of force justified with policy violation,task force,2nd district,,field operations bureau,force (take down),l2,yes,29,5,No,new-orleans-pd,refused verbal commands
8ee802dc181891310fde3f7f06d0ae55,00f2b978c8844ee9c5225410275d587d,ftn2017-0242,04d7d60d50f5d18486c3211e69040a09,Completed,arresting,good,clear conditions,between 7am-3pm,use of force authorized,1st platoon,4th district,,field operations bureau,force (take down),l2,yes,47,5,No,new-orleans-pd,refused verbal commands
846890715ffef8d97c37493c136fae47,00f6d3065bf991b9d5a5cc18a6cd006d,ftn2020-0361,ff67817d3a2d3a0b107a21566bfd9399,Completed,pedestrian stop,good,clear conditions,between 3pm-11pm,use of force justified,,8th district,property,field operations bureau,hands,l1,no,60,31,No,new-orleans-pd,flight from an officer
1c3559c8def28d7da51e4d8f4a4bd36c,01057edb8209b29729cb6031b5fa800f,ftn2019-0183,60be096b7d0c4e403c5d6e9677975a9f,Completed,pedestrian stop,poor,clear conditions,between 11pm-7am,use of force justified,c platoon,7th district,task force a,field operations bureau,firearm (exhibited),l1,yes,36,2,No,new-orleans-pd,flight from an officer
c8ac774d0c68a639c76e2bc5a37552ef,0123ea32ff32799293bf5f30f565a6f0,ftn2016-0080,66462cf9cc34882bd48ba6f3dc266d58,Completed,call for service,good,clear conditions,,use of force authorized,a platoon,5th district,,field operations bureau,hands,l1,yes,47,12,No,new-orleans-pd,refused verbal commands
e6fca608c23c46d70382a399583dd92f,013ffff7e4f7822890db88dc5e2b61c9,ftn2017-0180,a3b78c1311555bf7c06988642f810114,Completed,arresting,good,clear conditions,between 7am-3pm,use of force authorized,1st platoon,4th district,patrol,field operations bureau,conducted electrical weapon exhibited/laser,l1,yes,45,9,No,new-orleans-pd,other
aba05b35aab093052a0899b4da6da502,01ab4c6ef125b699dd8043d8b7ae3293,ftn2017-0335,1e78846aa5d3825447930cfba50aa860,Completed,call for service,poor,clear conditions,between 3pm-11pm,use of force authorized,b platoon,3rd district,,field operations bureau,firearm (exhibited),l1,yes,31,7,No,new-orleans-pd,refused verbal commands
0ba92ea83169755047abd2970b812e0f,01b2cf6f06212c64d36da5bac295d4ee,ftn2020-0230,28ccbbeca9cfaac13bb9dc1ef4885ab9,Completed,call for service,good,clear conditions,between 7am-3pm,use of force justified,a platoon,7th district,patrol,field operations bureau,takedown (no injury),l1,yes,36,17,No,new-orleans-pd,refused verbal commands
4049e5c33974dd21cf1d3284f9168b9e,01c13c37172922318e0e9d84e8418ca1,ftn2016-0128,8eb46d7bc12f8543ffa127bb5f31ec3d,Completed,call for service,good,clear conditions,,use of force authorized,a platoon,6th district,,field operations bureau,firearm (exhibited),l1,yes,39,19,No,new-orleans-pd,other
eb3a6217d7eb7ad460490be1a21dc22c,01d036fb4950833493d0282be47c0dfb,ftn2020-0169,24290da460a94aad5ea1b2114acce293,Completed,arresting,good,clear conditions,between 11pm-7am,use of force justified,,5th district,investigations,field operations bureau,firearm (exhibited),l1,no,28,5,No,new-orleans-pd,flight from an officer
18cee54eda8b3c3805fb0e7aafbd1d5e,01d6cc74f03546c4c7830bd77e010d7f,ftn2016-0385,a579869cb7be9dce92463889f458c281,Completed,arresting,poor,clear conditions,,use of force authorized,c platoon,3rd district,,field operations bureau,conducted electrical weapon deployment,l2,no,23,7,No,new-orleans-pd,resisted lawful arrest
c5231296efb468f6ba7cea21b00c25d2,01f6f955f5b26362c81a3f2aeabd2b28,ftn2016-0212,d8e7acdc3d009ed19822922a8c0d2e1a,Completed,arresting,poor,clear conditions,,use of force authorized,narcotics,1st district,,field operations bureau,firearm (exhibited),l1,yes,25,7,No,new-orleans-pd,refused verbal commands
3e2841a47d06e5a02cd39d8259c55a3a,020e8256ff4a8e76507e0134d542c0bc,ftn2021-0187,52b79d71adf9ef2847951de00b375d43,Completed,arresting,good,clear conditions,between 3pm-11pm,use of force justified,a platoon,3rd district,patrol,field operations bureau,hands,l1,yes,47,5,Yes,new-orleans-pd,resisted lawful arrest
04a83489ebe48f055c959707624b9151,02135e8929120360a5f4450f516a9352,ftn2016-0576,ecf7eaf1c9492fb98cd1e306d340c5d8,Completed,call for service,good,clear conditions,,use of force authorized,b platoon,8th district,,field operations bureau,hands,l1,yes,40,13,No,new-orleans-pd,refused verbal commands
437c1ce4b9d865338657e296deded688,021d82a58322382de64012175ab43940,ftn2019-0025,c87f3d1c3d01306bd29d55ff506f98f7,Completed,call for service,good,clear conditions,,use of force justified,b platoon,5th district,patrol,field operations bureau,hands,l1,yes,34,4,No,new-orleans-pd,resisted lawful arrest
d65953a92d847dfc6c53f2d2888956e8,023838b022f934d54b291a5d1d01b43b,ftn2021-0096,4d3f02f836d9b90f6e49c0027ddba93b,Completed,arresting,good,clear conditions,between 7am-3pm,use of force justified,a platoon,3rd district,,field operations bureau,force (escort tech),l1,yes,24,3,Yes,new-orleans-pd,resisted lawful arrest
8aec556cccccb07773d2d49f16fb470e,023a0c057030dad665d2f5a2f15208b4,ftn2016-0393,0107126785ec6b0a66687f9379a3a28e,Completed,arresting,poor,clear conditions,,use of force authorized,b platoon,6th district,,field operations bureau,hands,l1,yes,29,6,No,new-orleans-pd,resisted lawful arrest
0db0dbb14b43e72e4c7fc3fd201b95f8,0242552adab0944dc15f954f4ba7f24d,ftn2017-0387,cdd042dcf3989dd4a8ee05ffc71366c6,Completed,arresting,good,clear conditions,between 11pm-7am,use of force authorized,bourbon promenade,8th district,,field operations bureau,force (take down),l2,yes,41,22,No,new-orleans-pd,escape
620443e51e76ea5b9a86e817608dfb74,0256382df2086a464df424241bb65a2c,ftn2020-0271,91abfcdfd4b9a9359dfd3fa68bca871f,Completed,,,,between 3pm-11pm,use of force justified,b platoon,5th district,patrol,field operations bureau,firearm (exhibited),l1,no,28,3,No,new-orleans-pd,
6ad82cc15f1992070f6270ad36b904e0,02617dd951e3f0562d1a032eabc977fa,ftn2018-0317,948c99a3b1081385e231790ebc28fe21,Completed,call for service,good,clear conditions,between 3pm-11pm,use of force justified,,1st district,staff,field operations bureau,takedown (no injury),l1,yes,41,24,No,new-orleans-pd,resisted lawful arrest
0694f0abdba9b2342324968a229489b0,027098405075f02199974dc0280015e3,ftn2020-0222,d7604906f7fb5c86dfb858c5d420d7ac,Completed,pedestrian stop,poor,clear conditions,between 11pm-7am,use of force justified,c platoon,5th district,patrol,field operations bureau,conducted electrical weapon deployment,l2,yes,33,8,Yes,new-orleans-pd,battery on officer
00dc7fa677d54217b1277556ca9598c3,02832f0b906cf2b522fb7578519daada,ftn2018-0437,68e0070d48bbc81bfcfff0cf12978707,Completed,call for service,good,clear conditions,between 7am-3pm,use of force justified,neighborhood policing,4th district,patrol,field operations bureau,firearm (exhibited),l1,yes,30,9,No,new-orleans-pd,tactical deployments
c7e799ea2106a454458b06ec2ae3cd53,028635c384cb675522ed4c5c7b6eddb2,ftn2021-0381,025d7345303bfcc674a75f0abae0ae4a,Completed,call for service,good,clear conditions,between 11pm-7am,use of force justified,c platoon,1st district,patrol,field operations bureau,firearm (exhibited),l1,yes,28,2,No,new-orleans-pd,flight from an officer
d1f854c80f12c7b5721894d0371f2143,028e7ed76b8f1ec422bab7fc39c7a180,ftn2016-0527,1ab77864e30506eb97f250a4176649d3,Completed,arresting,good,clear conditions,,use of force authorized,1st platoon,1st district,,field operations bureau,conducted electrical weapon exhibited/laser,l1,limited,28,12,Yes,new-orleans-pd,resisted lawful arrest
cd2c8fda6423758f028b393b06c9c770,029346ac080ff01dd2d285d6359aef41,ftn2018-0014,c3e47fb58da330669fd0ac3439a97824,Completed,arresting,poor,clear conditions,between 3pm-11pm,use of force authorized,b platoon,5th district,patrol,field operations bureau,hands,l1,yes,33,12,No,new-orleans-pd,resisted lawful arrest
77df327fdbf184073c265aed8e9a0b73,02a0f966b1efd600de196407bc4b9ea5,ftn2018-0470,718b5372f0d1168af3be8ae9c7e2ae08,Completed,arresting,poor,clear conditions,between 11pm-7am,use of force justified with training,c platoon,8th district,patrol,field operations bureau,conducted electrical weapon deployment,l2,no,40,7,Yes,new-orleans-pd,flight from an officer
3d5ecb466f28e712f73dc6f70e08e345,02ab70025bc9d7bd951b80cfb27e5b7c,ftn2016-0084,04b82f1aed857bd3655267e4092d0a5f,Completed,call for service,good,clear conditions,,use of force authorized,evening watch,7th district,,field operations bureau,firearm (exhibited),l1,yes,51,7,No,new-orleans-pd,other
c4d50dfcc24d2a3d745ac6d34235724e,02cba76e68caa5c072bdfabf8f1a4c26,ftn2017-0001,88ca23da12163a705b356bd44c12525a,Completed,call for service,good,rainy conditions - medium,between 7am-3pm,use of force authorized,a platoon,5th district,,field operations bureau,hands,l1,no,39,13,No,new-orleans-pd,escape
243e11a7128df89c570314aed55a9dc8,02d4e957321e09251adf37b46a03a5b9,ftn2019-0177,bb914fd75bf14a8562b587e4b8f419b2,Completed,serving a warrant,poor,rainy conditions - medium,between 11pm-7am,use of force justified,tactical,special operations,1st platoon,field operations bureau,firearm (exhibited),l1,yes,49,27,No,new-orleans-pd,tactical deployments
21e0a2a78e95008e22a3fedf8e441efb,02db4fe70f73fc77f8c258d7fd4176d9,ftn2019-0072,489b218ff67de26bf79a3247a0766124,Completed,pedestrian stop,good,clear conditions,between 3pm-11pm,use of force justified,2nd platoon,4th district,patrol,field operations bureau,firearm (exhibited),l1,yes,32,4,No,new-orleans-pd,weapon exhibited
57f02b2df77e6b6dc9d4ea710715a2cc,02ddadded6db6c88de388cf41214b6d0,ftn2017-0236,b3ab5a0764b9199c6b5d164465488fd2,Completed,call for service,good,clear conditions,between 7am-3pm,use of force authorized,day watch,7th district,patrol,field operations bureau,conducted electrical weapon exhibited/laser,l1,yes,42,23,No,new-orleans-pd,resisted lawful arrest
f108f72138304b0525e13f187e65140f,02df7386a0445393b5e1e9e2ecf9ce37,ftn2019-0200,6f71086e1d94e1cf8d3d60270dd32390,Completed,call for service,good,clear conditions,,use of force justified,a platoon,7th district,,field operations bureau,takedown (no injury),l1,yes,31,4,No,new-orleans-pd,refused verbal commands
b8b9fddac8cec48dda407a3f3b5979a7,02e2312b278d9136858a45da5884f0c9,ftn2020-0334,19490ba07cda1d0b8c54b3903e2939f1,Completed,arresting,poor,clear conditions,between 11pm-7am,use of force justified,c platoon,7th district,patrol,field operations bureau,takedown (no injury),l1,yes,26,5,No,new-orleans-pd,refused verbal commands
1451ce36035cee55a6faea55d2622dec,03024d1e01504cc7876ca4a048b6236a,ftn2021-0200,f758fdad65128dbdd5c4c6dadc77fa7c,Completed,call for service,good,clear conditions,between 11pm-7am,use of force justified,c platoon,1st district,,field operations bureau,force (take down),l2,yes,38,5,Yes,new-orleans-pd,resisted lawful arrest
5192b37f2ed631ba06e13eb6f9cf443f,03038255bd3e6a2ce683ca25d8cd7493,ftn2018-0149,2ed9416c0676e5dd47cc83f588e8bfb6,Completed,call for service,good,rainy conditions - light,between 7am-3pm,use of force authorized,investigations,3rd district,squad 3,field operations bureau,firearm (exhibited),l1,yes,47,17,No,new-orleans-pd,weapon exhibited
23bb4fb2f8f37d2883ca968b7dd5bbcf,030ab66fcac50f0c5a80a63e343e6472,ftn2017-0522,7d21d4f56248ed09eda9a607a573ad5a,Completed,call for service,good,clear conditions,between 3pm-11pm,use of force authorized,b platoon,3rd district,patrol,field operations bureau,force (take down),l2,yes,39,7,Yes,new-orleans-pd,resisted lawful arrest
1203fc12497195b0f74bd28b9ba36e76,03118063f7f19e109580d0b3d4a3998a,ftn2017-0582,b9a6573b74b596a41a08d231a99d3d3c,Completed,call for service,poor,clear conditions,,use of force authorized,task force,5th district,,field operations bureau,firearm (exhibited),l1,yes,34,13,No,new-orleans-pd,weapon exhibited
8e97281aa94f1b9a5991521912f4ef93,031f52c54d03f88c1bd0bd2b058dd641,ftn2017-0444,c052d8b7d6acf3c6934a38d2846f5890,Completed,serving a warrant,good,clear conditions,between 7am-3pm,use of force authorized,tactical,special operations,,field operations bureau,firearm (exhibited),l1,yes,29,8,No,new-orleans-pd,other
9679eb18d20c8deadce08ef195567b15,03241a41365ac9675ecbe59ad8a69ad5,ftn2017-0197,68df4a98a8b69ba690f52cc021ee64e6,Completed,call for service,good,clear conditions,between 7am-3pm,use of force authorized,day watch,7th district,,field operations bureau,force (take down),l2,yes,33,7,No,new-orleans-pd,refused verbal commands
a7d7f4e7d2fd5aae34ea1ddcb45dd7ac,03256242fe22583f9e39a1cbdd66b2d9,ftn2016-0508,f4c9e6fcf9ec59a610ad0166e194f4bd,Completed,other,good,clear conditions,,use of force authorized,bourbon promenade,8th district,patrol,field operations bureau,hands,l1,yes,38,16,No,new-orleans-pd,resisted lawful arrest
ed66f3d488fe179aa4818ef190ddf3a8,0329b3354b697decdc950daab54611ef,ftn2021-0191,2189fa55d7350a6d950c8cc0a45daf53,Completed,arresting,good,clear conditions,between 3pm-11pm,use of force justified,b platoon,2nd district,patrol,field operations bureau,hands,l1,yes,24,2,No,new-orleans-pd,refused verbal commands
313af3292d2f04bfce82863537efaba0,032bb7682f6f0b96335ceb8252fbf772,ftn2016-0299,eb19c746a2bf98e550aa91bc44676aa3,Completed,arresting,poor,clear conditions,,use of force authorized,day watch,7th district,,field operations bureau,firearm (exhibited),l1,yes,32,17,No,new-orleans-pd,other
186ce3fa8e4602abf379c9da1bb8b718,0331e09a798ba16afa8a20ede7d6284e,ftn2021-0174,2f18d25a2c0556fc0633b895e71c7368,Completed,arresting,good,rainy conditions - medium,between 3pm-11pm,use of force justified,b platoon,5th district,patrol,field operations bureau,takedown (with injury),l2,yes,29,2,No,new-orleans-pd,resisted lawful arrest
64ad177c7db30a6ce9c75adeaf68ed80,034519e52fa2b349b68d9b1826ada1e7,ftn2016-0057,74b0f78399849b6156f4e49adac8f292,Completed,arresting,good,clear conditions,,use of force authorized,a platoon,3rd district,patrol,field operations bureau,firearm (exhibited),l1,yes,51,14,No,new-orleans-pd,resisted lawful arrest
612afbceaab4b943be03a856bb2095c0,034f8ce02098c126648bd3ad454f20a9,ftn2017-0576,199909153ce0e0730074bd9e364630d8,Completed,call for service,good,clear conditions,between 11pm-7am,use of force authorized,c platoon,5th district,patrol,field operations bureau,force (take down),l2,yes,30,5,No,new-orleans-pd,resisted lawful arrest
d6119d3a92c39b75b1578a7800210e57,0354ee51cf086f857c82a931e7690fda,ftn2016-0315,55fc61579d59ecfb791d0da895114a52,Completed,call for service,poor,clear conditions,,use of force authorized,,1st district,property,field operations bureau,hands,l1,yes,34,13,No,new-orleans-pd,resisted lawful arrest
8e97281aa94f1b9a5991521912f4ef93,0357eb5141d50cadbeecf0558e303165,ftn2017-0621,108ae11c8f7496b217922de1b87bee50,Completed,serving a warrant,poor,rainy conditions - light,between 11pm-7am,use of force authorized,tactical,special operations,violent offender warrant squad,field operations bureau,firearm (exhibited),l1,yes,29,8,No,new-orleans-pd,tactical deployments
40310eec55829782c54f8fcaf332dc17,035d2a728c947cc529081eafe879b13a,ftn2017-0292,5ef710aabff5ea393c714cecc426b8c1,Completed,arresting,good,clear conditions,between 3pm-11pm,use of force authorized,evening watch,7th district,,field operations bureau,firearm (exhibited),l1,yes,33,13,No,new-orleans-pd,resisted lawful arrest
e4d60fac3cca1c3a1fadf5b3d710976e,03631091d3fcae5f8bb60d930fbd3266,ftn2019-0068,ae8a9f5a8ca0c823e901ddf32350dc0b,Completed,call for service,good,clear conditions,between 7am-3pm,use of force justified,a platoon,5th district,patrol,field operations bureau,takedown (no injury),l1,yes,34,6,No,new-orleans-pd,resisted lawful arrest
2d170f0ba5a8ff52fa5fddf074b39a8c,036866cc06f1f73c67699c2c0012e99a,ftn2016-0326,a9cc9bbfc212f615cda91028ca7dfc1c,Completed,traffic stop,poor,clear conditions,,use of force authorized,task force a,3rd district,,field operations bureau,firearm (exhibited),l1,yes,37,16,No,new-orleans-pd,other
0bd0863f10af4cdd758d4c0ee8c19acc,036b912404f2096618e6b92aaf637bea,ftn2019-0058,a6a097b20fecfdb2eddcb3a5fbf44a46,Completed,arresting,good,clear conditions,between 3pm-11pm,use of force justified,,1st district,adminstrative,field operations bureau,firearm (exhibited),l1,no,37,0,No,new-orleans-pd,resisted officer with weapon
f5c6011e728e3ce61e227f0d8010769b,037c64ecccce3f6ebf62bd1ec266a093,ftn2021-0267,8fc6cf939cd7100529bbe6e0d97cdd61,Completed,call for service,good,clear conditions,between 11pm-7am,use of force justified,c platoon,7th district,patrol,field operations bureau,hands,l1,yes,27,2,No,new-orleans-pd,resisted lawful arrest
0db0dbb14b43e72e4c7fc3fd201b95f8,037fb6261d0144d9ab6de69362eef942,ftn2016-0013,d051325148aed965735f5e891d24fdb3,Completed,call for service,poor,clear conditions,,use of force authorized,night watch,7th district,,field operations bureau,conducted electrical weapon exhibited/laser,l1,yes,40,22,No,new-orleans-pd,other
3975feb485faad4185d470c6f6596462,03835d45bf0c9e9d1ce4195cc2bd7b7e,ftn2019-0119,862011fa6a1a385c9ba11e8250d6f27d,Completed,arresting,poor,clear conditions,between 11pm-7am,use of force justified,bourbon promenade,8th district,bourbon street,field operations bureau,firearm (exhibited),l1,yes,30,4,No,new-orleans-pd,weapon exhibited
4c36a5124f2de7afb8caae2bfa0c03c4,038f71a75aa949ca3419ab6fab03a93e,ftn2018-0441,53c9d7d2179e2f2286fb05c70bf47541,Completed,call for service,poor,clear conditions,between 11pm-7am,use of force justified,c platoon,8th district,patrol,field operations bureau,firearm (exhibited),l1,yes,27,5,No,new-orleans-pd,weapon exhibited
166c58f35ac6b50fd2e44658b41cddba,039a8af6597316f7feb2e61be21bfa9a,ftn2018-0159,aaac8350a09e0d0c50e57add4c84fc6d,Completed,arresting,good,clear conditions,between 7am-3pm,use of force authorized,tactical,special operations,1st platoon,field operations bureau,firearm (exhibited),l1,yes,40,15,No,new-orleans-pd,flight from an officer
6fdd9bfce56a8a5d5dd2cb64fab77316,039ee8a66c64937478cee4061f8cc61a,ftn2021-0314,15e705325b98fe1ba2d1b58d22732023,Completed,call for service,poor,clear conditions,between 11pm-7am,use of force justified,c platoon,7th district,patrol,field operations bureau,hands,l1,no,49,24,No,new-orleans-pd,battery on officer
aef138ea942cc17690b8ac8c1d657831,03c6b9bd2329160533ef2f5506be7185,ftn2021-0106,08f5a8fa13bad9df17b9926047ffaee2,Completed,call for service,good,clear conditions,between 7am-3pm,use of force justified with training,a platoon,8th district,patrol,field operations bureau,hands,l1,yes,43,17,Yes,new-orleans-pd,battery on officer
9ac35154e69867813643b50567b216cd,03d57f81263a4326429a080d633e6169,ftn2018-0049,7796fb2c19121293fcc4bc10b7fc42e7,Completed,call for service,good,rainy conditions - light,between 11pm-7am,use of force justified,c platoon,8th district,patrol,field operations bureau,conducted electrical weapon exhibited/laser,l1,yes,38,9,No,new-orleans-pd,refused verbal commands
40310eec55829782c54f8fcaf332dc17,03e68e9802789372d2c2af8de562ac53,ftn2017-0392,b02221e0113f8bcd6ac863166e66f1f6,Completed,call for service,good,clear conditions,between 3pm-11pm,use of force authorized,b platoon,7th district,patrol,field operations bureau,force (take down),l2,yes,33,13,No,new-orleans-pd,refused verbal commands
50022f4a6d85c53364b686ab8edc0e71,03f6d704a8506b9f62041175e7189280,ftn2021-0203,7fd4303651f04236ad2bc3c2f037a59b,Completed,call for service,good,clear conditions,between 11pm-7am,use of force justified,a platoon,7th district,patrol,field operations bureau,firearm (exhibited),l1,yes,45,17,No,new-orleans-pd,other
06c47f1b1619ee092cbf8606f482664e,04539d5d28fba19f7cd1a10c6f1d3fae,ftn2016-0015,97137fbf4902c3f4539d66d3e26cf2b1,Completed,call for service,good,clear conditions,,use of force authorized,1st platoon,1st district,,field operations bureau,force (take down),l2,yes,39,23,No,new-orleans-pd,refused verbal commands
5fa29bd8f1b86b527693026bba7028b7,0462378fbc626e93b919d9e08cc40b50,ftn2019-0323,d53eabdb2176e9801de7713f52f76233,Completed,serving a warrant,poor,clear conditions,between 11pm-7am,use of force justified,b platoon,2nd district,patrol,field operations bureau,firearm (exhibited),l1,yes,30,5,No,new-orleans-pd,room clearing
64ad177c7db30a6ce9c75adeaf68ed80,0462781e041cef72299434351b3cbf4f,ftn2016-0427,28739041dad589eec5931a04d7f418ae,Completed,traffic stop,good,clear conditions,,use of force authorized,lwop,administrative duties services,,management service bureau,firearm (exhibited),l1,yes,51,14,No,new-orleans-pd,refused verbal commands
5fa29bd8f1b86b527693026bba7028b7,046c5d14df546ec3c0b89ca016e38913,ftn2019-0336,a7a67d6d1c5005cf5d08c70be9ae32c3,Completed,call for service,good,clear conditions,between 3pm-11pm,use of force justified,b platoon,2nd district,patrol,field operations bureau,firearm (exhibited),l1,yes,30,5,No,new-orleans-pd,flight from an officer
3975feb485faad4185d470c6f6596462,04709241cfdafa8f44e95855a24bfd0f,ftn2020-0354,644aae56edf09b02e1538f1144c36b97,Completed,arresting,good,clear conditions,between 3pm-11pm,use of force justified,c platoon,8th district,patrol,field operations bureau,takedown (no injury),l1,yes,31,4,No,new-orleans-pd,other
4e81d34d34b7ee65553b5cc2493b709c,048ef11f912a02876ddb510530d27931,ftn2018-0438,c5c879c3aab20ebeff3917d9daa2a77a,Completed,call for service,good,clear conditions,between 3pm-11pm,use of force justified,b platoon,3rd district,patrol,field operations bureau,hands,l1,yes,32,4,No,new-orleans-pd,resisted lawful arrest
5fa29bd8f1b86b527693026bba7028b7,04b54ad1231d1cc5eeb2a9f4900934f0,ftn2019-0205,076b33785f51e54d1cf4284ac38c5050,Completed,call for service,,,between 3pm-11pm,use of force justified,task force,2nd district,,field operations bureau,firearm (exhibited),l1,yes,30,5,No,new-orleans-pd,refused verbal commands
b6aef104a9c4f57a0001ce3a917a90dc,04bf3601e8ab50112a11a195356e2d80,ftn2017-0325,804c1d55d276200fda8d8f0445038c9d,Completed,traffic stop,good,clear conditions,between 7am-3pm,use of force authorized,a platoon,1st district,patrol,field operations bureau,force (take down),l2,yes,37,7,No,new-orleans-pd,resisted lawful arrest
ea93fef4181347772ba2f43a6ee33c31,04d4a1ff0d40b77add5926cb7da359e5,ftn2020-0319,eb6c57e29ba00571d4f783452e53d328,Completed,call for service,good,clear conditions,between 3pm-11pm,use of force justified,b platoon,2nd district,patrol,field operations bureau,takedown (no injury),l1,yes,30,2,No,new-orleans-pd,other
921b9d7b665e288b9d2f0cd38e1829a9,04fdc3c95a30516da309cea4b1f9615d,ftn2021-0183,6123344e3fbbe1f3aa89140b9a60fada,Completed,call for service,good,other,between 11pm-7am,use of force justified,bourbon promenade,8th district,,field operations bureau,firearm (exhibited),l1,yes,48,14,No,new-orleans-pd,weapon exhibited
7333cc34e1048031c9e917b5887ba23e,05060e98424962a9462b1324b41a3395,ftn2020-0002,5efdfec5a8459db33c3e3b9e08162370,Completed,arresting,good,clear conditions,between 7am-3pm,use of force justified,a platoon,alternative response,patrol,field operations bureau,hands,l1,yes,30,7,No,new-orleans-pd,resisted lawful arrest
37b850c531cdec3716c825e34c03bf33,054a290118841e4dd6bf1e8e13d40cfc,ftn2019-0137,f7887d5b50903d2fedcd1bcdebb0c2c3,Completed,arresting,good,other,between 11pm-7am,use of force justified,c platoon,8th district,,field operations bureau,force (take down),l2,yes,32,7,No,new-orleans-pd,battery on officer
25a512f2265ebe5600d9d716af6e1ac5,054e03582ac9a9441643716fe8a96841,ftn2018-0111,8cdaab829c005ca96cb633ad07784472,Completed,call for service,good,clear conditions,between 3pm-11pm,use of force justified,b platoon,3rd district,patrol,field operations bureau,conducted electrical weapon deployment,l2,no,34,5,No,new-orleans-pd,resisted lawful arrest
3340f27a6e719dc7b8c7896a0edc12eb,0561f9263c8014300001de25dbec3429,ftn2016-0005,2853e3521ca8e59ab045f8f15b322880,Completed,other,good,clear conditions,,use of force authorized,narcotics,5th district,narcotics,field operations bureau,conducted electrical weapon deployment,l2,no,29,6,No,new-orleans-pd,refused verbal commands
