uid,uof_uid,tracking_id_og,tracking_id,investigation_status,service_type,light_condition,weather_condition,shift_time,disposition,division,division_level,unit,originating_bureau,use_of_force_description,use_of_force_level,use_of_force_effective,age,years_of_service,officer_injured,agency,use_of_force_reason
cb716278d37e56e1d1e3630595b70ec8,2b0afd90423f94ab9c3ed2fba242de7a,ftn2021-0289,1827a0991c5c76817d21599fe7638b4e,Completed,call for service,good,clear conditions,between 3pm-11pm,use of force justified,b platoon,6th district,patrol,field operations bureau,takedown (no injury),l1,yes,26,5,No,new-orleans-pd,refused verbal commands
5fa29bd8f1b86b527693026bba7028b7,2b1105f0436f7ab70f27d1f6492702af,ftn2021-0016,6f766cdd2c0cc0acee1050ed85cd9c9e,Completed,arresting,good,clear conditions,between 7am-3pm,use of force justified,,2nd district,,field operations bureau,hands,l1,yes,32,5,Yes,new-orleans-pd,resisted lawful arrest
166c58f35ac6b50fd2e44658b41cddba,2b11127326e02de1339235c4fd82f3db,ftn2016-0293,3d5fb300ae1a83beb3306c0b3a7c9689,Completed,traffic stop,good,clear conditions,,use of force authorized,,special operations,,field operations bureau,firearm (exhibited),l1,yes,38,15,No,new-orleans-pd,resisted lawful arrest
9ac35154e69867813643b50567b216cd,2b16bd2914774ddc639f5027eec94f3c,ftn2016-0077,833e849c877b71d61e51777a46b46b09,Completed,call for service,good,clear conditions,,use of force authorized,c platoon,8th district,,field operations bureau,conducted electrical weapon exhibited/laser,l1,no,36,9,No,new-orleans-pd,resisted lawful arrest
8aec556cccccb07773d2d49f16fb470e,2b331f3e7e63e873661fa561364f9d97,ftn2016-0629,a5df76ebef966291ce9e49df9bbb8f35,Completed,call for service,good,clear conditions,,use of force authorized,b platoon,6th district,,field operations bureau,firearm (exhibited),l1,yes,29,6,No,new-orleans-pd,refused verbal commands
41f88a5569033076ae2f6b5e09d0f992,2b589f16ec30d9fa793f580f5dfb3cf8,ftn2017-0379,f8b29ceb1c8700a48b5d84a15f1a05a9,Completed,traffic stop,poor,clear conditions,between 3pm-11pm,use of force authorized,task force,7th district,task force a,field operations bureau,firearm (exhibited),l1,yes,31,7,No,new-orleans-pd,escape
af1b431a36aae90bb9b3cd5d72ba2ad5,2b8f3784550b40ed67433d4278c18ddd,ftn2017-0285,3455cde04ff7c2b23b116070e8af973e,Completed,arresting,poor,rainy conditions - light,between 11pm-7am,use of force authorized,task force,4th district,,field operations bureau,firearm (exhibited),l1,no,37,17,No,new-orleans-pd,resisted lawful arrest
18abf5f2f788c63d80c7373fa31c8220,2b9b26e192246bdea73061f9b5a778e5,ftn2019-0132,3284b3de08c95facf5d2231bcfb53138,Completed,arresting,good,rainy conditions - light,between 7am-3pm,use of force justified,b platoon,3rd district,,field operations bureau,takedown (with injury),l2,yes,32,13,No,new-orleans-pd,resisted lawful arrest
34409eef55c26979a0085305698496a1,2badc5491b8d8f804a78bea8f4fe048a,ftn2020-0242,543998c85b84a694d1393103293dce8d,Completed,pedestrian stop,good,clear conditions,between 11pm-7am,use of force justified,c platoon,8th district,patrol,field operations bureau,takedown (no injury),l1,yes,28,3,No,new-orleans-pd,flight from an officer
f9208bba7d7e7d43a412a7f720afae64,2bb32203c6f49bb0cb25805eb404d9ea,ftn2019-0162,3cfe3009543f302c81dbe5c37d5a1862,Completed,call for service,good,clear conditions,between 3pm-11pm,use of force justified,b platoon,5th district,patrol,field operations bureau,takedown (no injury),l1,yes,23,3,No,new-orleans-pd,resisted lawful arrest
8e97281aa94f1b9a5991521912f4ef93,2bb9826998884d82d1b3e1919e6d8b45,ftn2018-0299,f0920ecbe6f68c83a62ccf3e4b864c13,Completed,serving a warrant,good,clear conditions,between 7am-3pm,use of force justified,tactical,special operations,,field operations bureau,firearm (exhibited),l1,yes,30,8,No,new-orleans-pd,tactical deployments
18abf5f2f788c63d80c7373fa31c8220,2bc54f64d3b733fec7c5ea132b07504f,ftn2017-0528,5e0795792d670fa534fb73aeead5eb57,Completed,call for service,good,clear conditions,between 3pm-11pm,,,5th district,,field operations bureau,hands,l1,yes,30,13,No,new-orleans-pd,resisted lawful arrest
38a100267bc08ec1349ff8ddcb26ae0b,2bc6b2fe0e2a337fbeac59203d759556,ftn2017-0150,631890f357ad2cf6ac05c660315b3cfa,Completed,traffic stop,good,clear conditions,between 11pm-7am,use of force authorized,task force,7th district,a,field operations bureau,head strike (no weapon),l3,yes,27,7,Yes,new-orleans-pd,resisted lawful arrest
ef732835e31b60e95a4271d905f1bfe7,2bc9b6fe7c30321bf1b8022f6eb89e26,ftn2018-0338,25315ace057a0c9522ccfa54e4e13d5f,Completed,call for service,poor,rainy conditions - light,between 3pm-11pm,use of force justified,b platoon,3rd district,patrol,field operations bureau,rifle (pointed),l1,yes,39,9,No,new-orleans-pd,refused verbal commands
